"","PIB","Sucursales","Cajeros","Densidad_población","IED","Prod_mayor","Prod_menor","Prod_manof","Salario"
"108",2.15,1.49,3.1,54.90000927,1319.84,-5.3,-1.6,141,264.56
"109",4.17,1.49,3.71,138.8068109,179.66,4.7,4.3,87,276.08
"110",4.9,2.64,5.91,99.77927803,436.52,-1.3,3,148.4,313.56
"111",3.02,1.34,3.73,732.101482,2035.99,-2.9,-6.3,108.6,310.19
"112",4.24,1.98,3.52,77.27287063,190.15,5.8,-1.5,99,273.83
"113",3.14,2.19,4.98,393.2332844,230.01,6.7,-14.7,114.6,315.57
"114",4.2,2.22,5.54,45.58831394,230.01,1.7,-2.6,125.9,248.33
"115",1.61,2.71,10.13,79.93446909,3145.09,6.2,7.1,109.5,351.4
"116",-1.54,1.54,3,42.49983328,195.09,2.2,4.3,105.5,256.49
"117",2.55,1.58,3.53,184.398029,1217.4,2.5,2.4,121.8,290.18
"118",4.37,2.66,7.67,172.8294605,1068,1.4,-2.8,112.3,351.53
"119",7.28,2.25,12.56,25.69300346,270.14,3.4,6.3,101.3,239.62
"120",3.78,1.64,4.41,45.88178409,907.33,9.2,-9.2,107.1,305.04
"121",5.48,1.78,5.43,51.81353888,432.13,3.7,7.7,96.1,233.53
"122",5.62,1.8,6.49,15.57980937,519.24,3.2,12.9,110.2,271.3
"123",-5.21,1.58,4,97.63799958,133.59,-1.3,5,116.7,271.58
"124",0.01,1.82,7,44.92075351,1186.67,5.9,7.5,79.8,292.73
"125",0.69,1.28,3.35,319.09136,231.18,3.5,6.1,126.8,264.94
"126",-0.07,1.62,4.13,104.8781434,1055.67,0.4,9.4,87,319.77
"127",4.4,2.3,5.19,54.27037062,124.52,2.8,3.8,138.6,280.78
"128",-1.65,1.58,3.64,21.23751181,532.13,2.9,2.3,70.7,286.09
"129",3.72,1.7,6.37,237.2945363,1568.83,1,-0.7,136.1,308.65
"130",3.15,1.62,7.47,51.12610924,1521.49,1.9,2.8,103.9,328.22
"131",11.43,2.28,9.25,10.99167007,502.24,0.7,-1.5,205,306.02
"132",-10.45,2.06,5.54,16.44505241,313.18,-6.3,-1.9,118.4,389.4
"133",-3.06,1.23,2.29,71.15674364,204.96,1.9,-1.9,84,327.58
"134",2.97,1.75,6.91,15.30639702,1726.12,2.2,-0.3,122.7,281.41
"135",5.03,1.89,7.8,19.98891527,2376.9,2.4,2.5,93.8,291.26
"136",4.53,2.94,6.53,137.0854345,143.93,4,1.2,63.4,315.11
"137",2.83,2.8,11.26,5965.129595,4861.28,1.6,0.9,105.1,420.96
"138",-1,1.52,4.61,14.78645706,97.64,0.8,-0.7,69.1,261.65
"139",4.87,2.37,4.87,194.6884478,3738.58,1.3,-2.3,123.4,281.95
"140",0,1.47,3.22,55.19001388,1595.51,8.1,0.8,148.9,271.81
"141",0.41,1.51,3.63,140.4293854,405.26,0.8,-0.1,93.4,288.51
"142",2.63,2.62,6.06,100.8832863,356.61,-0.2,-0.5,146.2,328.99
"143",4.57,1.34,3.81,742.5734315,1373.67,-4.4,-0.3,114.9,323.08
"144",3.12,1.94,3.67,77.77809077,290.4,3.6,-6.7,103.2,285.36
"145",5.05,2.15,4.93,397.775181,595.06,2.4,-3.5,114.5,328.27
"146",1.74,2.29,5.77,46.40253103,595.06,3.9,-0.8,108.7,260.39
"147",3,2.69,10.14,81.04584058,1818.16,-1.3,0.1,111.8,369.48
"148",-3.51,1.56,3.33,42.75394584,418.75,1.1,0.6,62.3,267.27
"149",6.15,1.62,3.55,186.1431381,939.41,-0.9,0.5,136.4,303.93
"150",3.92,2.58,7.54,175.3035967,1025.38,0.1,-8.8,109.5,371.11
"151",4.44,2.22,12.7,26.40528111,440.32,4.8,2.1,97.3,248.89
"152",4.39,1.72,4.56,46.27560548,1165.15,-2.5,-9.3,111.7,326.8
"153",0.73,1.8,5.43,52.24372233,760.71,1.5,3.5,99.3,245.65
"154",0.82,1.82,6.36,15.78541981,253.46,0.9,3.5,97.5,288.09
"155",-4.96,1.61,4.13,98.59006467,382.42,2.9,-0.2,118.6,281.23
"156",-0.01,1.83,6.91,45.41354756,1623.85,-1.1,0.2,76.6,310.92
"157",-1.44,1.31,3.3,323.348256,159.51,-0.3,0,119.8,280.04
"158",-1.05,1.63,4.16,105.6262845,890.34,1.6,3.2,81,333.12
"159",2.96,2.28,5.3,54.95222985,110.26,-2.6,3.6,136.9,291.57
"160",-0.45,1.6,3.65,21.39787545,310.37,3,0.6,71.6,307.12
